test_case,hdf5_file,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
3,Data_nx501_500km.h5,500,500,24,3,0.0403051,1,0.0403051
3,Data_nx501_500km.h5,500,500,28,1,0.0452845,1,0.0452845
3,Data_nx501_500km.h5,500,500,28,2,0.0291189,1,0.0291189
3,Data_nx501_500km.h5,500,500,28,3,0.0360443,1,0.0360443
3,Data_nx501_500km.h5,500,500,32,1,0.0190999,1,0.0190999
3,Data_nx501_500km.h5,500,500,32,2,0.0247911,1,0.0247911
3,Data_nx501_500km.h5,500,500,32,3,0.018684,1,0.018684
3,Data_nx501_500km.h5,500,500,40,1,0.0565284,1,0.0565284
3,Data_nx501_500km.h5,500,500,40,2,0.066443,1,0.066443
3,Data_nx501_500km.h5,500,500,40,3,0.0651704,1,0.0651704
3,Data_nx501_500km.h5,500,500,48,1,0.0575997,1,0.0575997
3,Data_nx501_500km.h5,500,500,48,2,0.0506557,1,0.0506557
3,Data_nx501_500km.h5,500,500,48,3,0.0588292,1,0.0588292
3,Data_nx501_500km.h5,500,500,56,1,0.0399243,1,0.0399243
3,Data_nx501_500km.h5,500,500,56,2,0.0445907,1,0.0445907
3,Data_nx501_500km.h5,500,500,56,3,0.0471525,1,0.0471525
3,Data_nx501_500km.h5,500,500,64,1,0.0559926,1,0.0559926
3,Data_nx501_500km.h5,500,500,64,2,0.0618786,1,0.0618786
3,Data_nx501_500km.h5,500,500,64,3,0.0601037,1,0.0601037
3,Data_nx501_500km.h5,500,500,72,1,0.0972848,1,0.0972848
3,Data_nx501_500km.h5,500,500,72,2,0.0878635,1,0.0878635
3,Data_nx501_500km.h5,500,500,72,3,0.0845542,1,0.0845542
3,Data_nx1001_500km.h5,1000,1000,1,1,0.0721809,1,0.0721809
3,Data_nx1001_500km.h5,1000,1000,1,2,0.0720549,1,0.0720549
3,Data_nx1001_500km.h5,1000,1000,1,3,0.072212,1,0.072212
3,Data_nx1001_500km.h5,1000,1000,2,1,0.0363457,1,0.0363457
3,Data_nx1001_500km.h5,1000,1000,2,2,0.0367427,1,0.0367427
3,Data_nx1001_500km.h5,1000,1000,2,3,0.0371129,1,0.0371129
3,Data_nx1001_500km.h5,1000,1000,4,1,0.0243909,1,0.0243909
3,Data_nx1001_500km.h5,1000,1000,4,2,0.0212968,1,0.0212968
3,Data_nx1001_500km.h5,1000,1000,4,3,0.025927,1,0.025927
3,Data_nx1001_500km.h5,1000,1000,8,1,0.0208534,1,0.0208534
3,Data_nx1001_500km.h5,1000,1000,8,2,0.0169851,1,0.0169851
3,Data_nx1001_500km.h5,1000,1000,8,3,0.0172219,1,0.0172219
3,Data_nx1001_500km.h5,1000,1000,12,1,0.0397268,1,0.0397268
3,Data_nx1001_500km.h5,1000,1000,12,2,0.0509512,1,0.0509512
3,Data_nx1001_500km.h5,1000,1000,12,3,0.0477132,1,0.0477132
3,Data_nx1001_500km.h5,1000,1000,16,1,0.021335,1,0.021335
3,Data_nx1001_500km.h5,1000,1000,16,2,0.0211276,1,0.0211276
3,Data_nx1001_500km.h5,1000,1000,16,3,0.0266898,1,0.0266898
3,Data_nx1001_500km.h5,1000,1000,20,1,0.0488044,1,0.0488044
3,Data_nx1001_500km.h5,1000,1000,20,2,0.0484405,1,0.0484405
3,Data_nx1001_500km.h5,1000,1000,20,3,0.0379875,1,0.0379875
3,Data_nx1001_500km.h5,1000,1000,24,1,0.035351,1,0.035351
3,Data_nx1001_500km.h5,1000,1000,24,2,0.0364408,1,0.0364408
3,Data_nx1001_500km.h5,1000,1000,24,3,0.0358615,1,0.0358615
3,Data_nx1001_500km.h5,1000,1000,28,1,0.0270844,1,0.0270844
3,Data_nx1001_500km.h5,1000,1000,28,2,0.0277862,1,0.0277862
3,Data_nx1001_500km.h5,1000,1000,28,3,0.0439233,1,0.0439233
3,Data_nx1001_500km.h5,1000,1000,32,1,0.0248766,1,0.0248766
3,Data_nx1001_500km.h5,1000,1000,32,2,0.0203899,1,0.0203899
3,Data_nx1001_500km.h5,1000,1000,32,3,0.0196777,1,0.0196777
3,Data_nx1001_500km.h5,1000,1000,40,1,0.0618296,1,0.0618296
3,Data_nx1001_500km.h5,1000,1000,40,2,0.0581779,1,0.0581779
3,Data_nx1001_500km.h5,1000,1000,40,3,0.0796739,1,0.0796739
3,Data_nx1001_500km.h5,1000,1000,48,1,0.058032,1,0.058032
3,Data_nx1001_500km.h5,1000,1000,48,2,0.0621289,1,0.0621289
3,Data_nx1001_500km.h5,1000,1000,48,3,0.0580806,1,0.0580806
3,Data_nx1001_500km.h5,1000,1000,56,1,0.0660286,1,0.0660286
3,Data_nx1001_500km.h5,1000,1000,56,2,0.0608224,1,0.0608224
3,Data_nx1001_500km.h5,1000,1000,56,3,0.0425987,1,0.0425987
3,Data_nx1001_500km.h5,1000,1000,64,1,0.0624851,1,0.0624851
3,Data_nx1001_500km.h5,1000,1000,64,2,0.059443,1,0.059443
3,Data_nx1001_500km.h5,1000,1000,64,3,0.0940408,1,0.0940408
3,Data_nx1001_500km.h5,1000,1000,72,1,0.090623,1,0.090623
3,Data_nx1001_500km.h5,1000,1000,72,2,0.0904337,1,0.0904337
3,Data_nx1001_500km.h5,1000,1000,72,3,0.0940241,1,0.0940241
